,prompts,BARD
0,Write a Python code to find the factorial of a given number,def factorial(n):
1,Write a Python code to reverse a string,def reverse_string(string):
2,Write a Python code to calculate the area of a circle,def calculate_area_of_circle(radius):
3,Write a Python code to find the maximum of two numbers,"def find_maximum(number1, number2):"
4,Write a Python code to check if a number is even or odd,def is_even(number):
5,Write a Python code to calculate the sum of digits of a number,def sum_of_digits(number):
6,Write a Python code to find the length of a list,def find_length_of_list(list_of_numbers):
7,Write a Python code to concatenate two lists,"def concatenate_lists(list1, list2):"
8,Write a Python code to remove duplicates from a list,def remove_duplicates(list_of_numbers):
9,Write a Python code to check if a list is sorted,def is_sorted(list_of_numbers):
10,Write a Python code to find the square root of a number,def square_root(number):
11,Write a Python code to calculate the GCD of two numbers,"def gcd(a, b):"
12,Write a Python code to convert a temperature from Celsius to Fahrenheit,def celsius_to_fahrenheit(celsius):
13,Write a Python code to find the largest element in an array,def find_largest_element(array):
14,Write a Python code to count the number of vowels in a string,def count_vowels(string):
15,Write a Python code to check if a number is a perfect square,def is_perfect_square(number):
16,Write a Python code to find the smallest element in an array,def find_smallest_element(array):
17,Write a Python code to calculate the area of a rectangle,"def calculate_area_of_rectangle(width, height):"
18,Write a Python code to check if a number is a palindrome,def is_palindrome(number):
19,Write a Python code to find the common elements between two arrays,"def find_common_elements(array1, array2):"
20,Write a Python code to calculate the power of a number,"def power(base, exponent):"
21,Write a Python code to swap two numbers without using a temporary variable,"def swap_numbers(number1, number2):"
22,Write a Python code to reverse a list,def reverse_list(list_to_reverse):
23,Write a Python code to find the prime factors of a number,def find_prime_factors(number):
24,Write a Python code to find the sum of all even numbers in a list,def sum_of_even_numbers(list_of_numbers):
25,Write a Python code to find the sum of all odd numbers in a list,def sum_of_odd_numbers(list_of_numbers):
26,Write a Python code to check if a given string is a valid email address,
27,Write a Python code to check if a given number is a Armstrong number,def is_armstrong_number(number):
28,Write a Python code to find the LCM of two numbers,"def lcm(x, y):"
29,Write a Python code to calculate the area of a triangle,"def area_of_triangle(base, height):"
30,Write a Python code to check if a list is empty,def is_list_empty(list_to_check):
31,Write a Python code to sort a list of numbers in ascending order,def sort_numbers(numbers):
32,Write a Python code to sort a list of strings in alphabetical order,def sort_strings(list_of_strings):
33,Write a Python code to find the middle element in a list,def find_middle_element(numbers):
34,Write a Python code to calculate the average of a list of numbers,def average(numbers):
35,Write a Python code to check if a number is a perfect number,def is_perfect_number(number):
36,Write a Python code to find the ASCII value of a character,def ascii_value(character):
37,Write a Python code to remove all whitespace from a string,def remove_whitespace(string):
38,Write a Python code to check if a given year is a leap year,def is_leap_year(year):
39,Write a Python code to count the number of words in a string,def count_words(string):
40,Write a Python code to check if a given number is a prime number,def is_prime(number):
41,Write a Python code to calculate the circumference of a circle,def calculate_circumference(radius):
42,Write a Python code to find the index of an element in a list,"def find_index(list, element):"
43,Write a Python code to calculate the area of a square,def calculate_area_of_square(side_length):
44,Write a Python code to reverse the order of words in a string,def reverse_words(string):
45,Write a Python code to calculate the volume of a sphere,def volume_of_sphere(radius):
46,Write a Python code to find the sum of all elements in a list,def volume_of_sphere(radius):
47,"Write a Python code to check if a number is positive, negative, or zero",def check_number(number):
48,Write a Python code to find the difference between two dates,"def difference_between_dates(date1, date2):"
49,Write a Python code to find the first non-repeated character in a string,def first_non_repeated_character(string):
50,Write a Python code to generate a random number within a given range,"def generate_random_number(min_value, max_value):"
51,Write a Python code to check if a given string is an anagram,"def is_anagram(string1, string2):"
52,Write a Python code to find the mode of a list of numbers,def mode(list_of_numbers):
53,Write a Python code to reverse the order of elements in an array,def reverse_array(array):
54,Write a Python code to check if a given string is a palindrome ignoring spaces,def is_palindrome(string):
55,Write a Python code to calculate the sum of all prime numbers up to a given limit,def sum_of_primes(limit):
56,Write a Python code to find the second largest element in an array,def find_second_largest_element(array):
57,Write a Python code to check if a given number is a perfect square or a perfect cube,def is_perfect_square(number):
58,Write a Python code to check if a given number is a Fibonacci number,def is_fibonacci(number):
59,Write a Python code to find the maximum product of two numbers in an array,def max_product_of_two_numbers(array):
60,Write a Python code to find the length of the longest increasing subarray in an array,def max_product_of_two_numbers(array):
61,Write a Python code to find the number of words that start with a vowel in a string,def count_words_starting_with_vowel(string):
62,Write a Python code to find the difference between two sets,"def difference_of_sets(set1, set2):"
63,Write a Python code to find the common elements between two sets,"def common_elements(set1, set2):"
64,Write a Python code to calculate the area of a trapezoid,"def calculate_area_of_trapezoid(base1, base2, height):"
65,Write a Python code to find the sum of digits in a given number using recursion,def sum_of_digits(number):
66,Write a Python code to find the number of occurrences of a character in a string,"def count_occurrences(string, character):"
67,Write a Python code to check if a given number is a perfect number or an abundant number,def is_perfect_number(number):
68,Write a Python code to calculate the sum of digits in a given number using a loop,def sum_digits(n):
69,Write a Python code to count the number of uppercase and lowercase letters in a string,def count_letters(string):
70,Write a Python code to check if a given string is a valid palindrome considering only alphanumeric characters,def is_palindrome(string):
71,Write a Python code to calculate the area of a pentagon,def area_of_pentagon(s):
72,Write a Python code to find the length of the longest common subsequence of two strings,"def lcs(x, y):"
73,Write a Python code to check if a given number is a strong number,def is_strong_number(number):
74,Write a Python code to find the ASCII value of each character in a string,def ascii_value(string):
75,Write a Python code to check if a given number is a Harshad number,def is_harshad(number):
76,Write a Python code to find the union of two sets,"def union(set1, set2):"
77,Write a Python code to calculate the area of a parallelogram,"def area_of_parallelogram(base, height):"
78,Write a Python code to find the largest prime factor of a given number,def find_largest_prime_factor(number):
79,Write a Python code to check if a given number is an abundant number,def is_abundant(number):
80,Write a Python code to calculate the area of a cube,def area_of_cube(side):
81,Write a Python code to check if a given string is a valid palindrome ignoring cases,def is_palindrome(string):
82,Write a Python code to find the number of vowels and consonants in a string,def count_vowels_and_consonants(string):
83,Write a Python code to check if a given number is a narcissistic number,def is_narcissistic(number):
84,Write a Python code to calculate the area of a rhombus,"def area_of_rhombus(d1, d2):"
85,Write a Python code to find the length of the longest common prefix of two strings,"def longest_common_prefix(string1, string2):"
86,Write a Python code to check if a given number is a Smith number,def is_smith_number(number):
87,Write a Python code to calculate the area of a regular hexagon,def area_of_hexagon(side_length):
88,Write a Python code to find the number of trailing zeros in the factorial of a given number,def trailing_zeros(n):
89,Write a Python code to check if a given string is a pangram,def is_pangram(string):
90,Write a Python code to find the sum of all divisors of a given number,def sum_of_divisors(number):
91,Write a Python code to check if a given number is a perfect power,def is_perfect_power(number):
92,Write a Python code to calculate the area of a regular octagon,def area_of_octagon(side):
93,Write a Python code to find the length of the longest common suffix of two strings,"def longest_common_suffix(string1, string2):"
94,Write a Python code to check if a given string is a valid palindrome considering only letters,def is_palindrome(string):
95,Write a Python code to count the number of occurrences of a word in a given text,"def count_word_occurrences(text, word):"
96,Write a Python code to calculate the factorial of a given number using recursion,def factorial(n):
97,Write a Python code to find the roots of a quadratic equation,"def find_roots(a, b, c):"
98,Write a Python code to check if a given list is sorted in ascending order,def is_sorted(list_to_check):
99,Write a Python code to find the length of the shortest path in a matrix from top left to bottom right,def find_shortest_path_length(matrix):
100,Write a Python code to find the largest sum of any two adjacent elements in an array,def max_adjacent_sum(array):
